2024-12-13 10:50:35,588 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 10:53:04,192 - INFO - Conex�o estabelecida com ('127.0.0.1', 62994)
2024-12-13 10:53:04,192 - INFO - Clientes ativos: 1
2024-12-13 10:53:08,357 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:54:34,449 - INFO - Mensagem enviada para ('127.0.0.1', 62994): andrei
2024-12-13 10:54:57,239 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:56:20,682 - INFO - Mensagem enviada para ('127.0.0.1', 62994): joia
2024-12-13 10:58:16,559 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 11:11:12,489 - INFO - Monitoramento: CPU 46.2% | Memória 77.1% | Clientes ativos 2
2024-12-13 11:11:17,493 - INFO - Monitoramento: CPU 40.1% | Memória 77.0% | Clientes ativos 2
2024-12-13 11:11:22,499 - INFO - Monitoramento: CPU 36.0% | Memória 74.2% | Clientes ativos 2
2024-12-13 11:11:27,503 - INFO - Monitoramento: CPU 44.4% | Memória 75.2% | Clientes ativos 2
2024-12-13 11:11:32,507 - INFO - Monitoramento: CPU 41.8% | Memória 75.8% | Clientes ativos 2
2024-12-13 11:11:37,510 - INFO - Monitoramento: CPU 47.2% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:11:42,514 - INFO - Monitoramento: CPU 23.9% | Memória 75.9% | Clientes ativos 2
2024-12-13 11:11:47,518 - INFO - Monitoramento: CPU 24.3% | Memória 75.6% | Clientes ativos 2
2024-12-13 11:11:52,527 - INFO - Monitoramento: CPU 24.4% | Memória 75.8% | Clientes ativos 2
2024-12-13 11:11:57,532 - INFO - Monitoramento: CPU 26.9% | Memória 76.3% | Clientes ativos 2
2024-12-13 11:12:02,536 - INFO - Monitoramento: CPU 25.3% | Memória 75.9% | Clientes ativos 2
2024-12-13 11:12:07,544 - INFO - Monitoramento: CPU 27.4% | Memória 75.9% | Clientes ativos 2
2024-12-13 11:12:12,549 - INFO - Monitoramento: CPU 30.3% | Memória 75.3% | Clientes ativos 2
2024-12-13 11:12:17,554 - INFO - Monitoramento: CPU 31.3% | Memória 75.1% | Clientes ativos 2
2024-12-13 11:12:22,559 - INFO - Monitoramento: CPU 25.3% | Memória 75.0% | Clientes ativos 2
2024-12-13 11:12:27,567 - INFO - Monitoramento: CPU 30.5% | Memória 74.6% | Clientes ativos 2
2024-12-13 11:12:32,577 - INFO - Monitoramento: CPU 31.6% | Memória 77.0% | Clientes ativos 2
2024-12-13 11:12:37,584 - INFO - Monitoramento: CPU 21.2% | Memória 74.8% | Clientes ativos 2
2024-12-13 11:12:42,587 - INFO - Monitoramento: CPU 18.3% | Memória 74.8% | Clientes ativos 2
2024-12-13 11:12:47,590 - INFO - Monitoramento: CPU 13.2% | Memória 74.6% | Clientes ativos 2
2024-12-13 11:12:52,594 - INFO - Monitoramento: CPU 18.3% | Memória 74.5% | Clientes ativos 2
2024-12-13 11:12:57,601 - INFO - Monitoramento: CPU 26.3% | Memória 74.8% | Clientes ativos 2
2024-12-13 11:13:02,605 - INFO - Monitoramento: CPU 21.4% | Memória 76.0% | Clientes ativos 2
2024-12-13 11:13:07,611 - INFO - Monitoramento: CPU 13.1% | Memória 73.9% | Clientes ativos 2
2024-12-13 11:13:12,620 - INFO - Monitoramento: CPU 15.1% | Memória 73.9% | Clientes ativos 2
2024-12-13 11:13:17,629 - INFO - Monitoramento: CPU 16.5% | Memória 73.9% | Clientes ativos 2
2024-12-13 11:13:22,634 - INFO - Monitoramento: CPU 24.8% | Memória 73.8% | Clientes ativos 2
2024-12-13 11:13:27,641 - INFO - Monitoramento: CPU 12.0% | Memória 73.1% | Clientes ativos 2
2024-12-13 11:13:32,647 - INFO - Monitoramento: CPU 9.5% | Memória 73.1% | Clientes ativos 2
2024-12-13 11:13:37,655 - INFO - Monitoramento: CPU 21.5% | Memória 71.2% | Clientes ativos 2
2024-12-13 11:13:42,661 - INFO - Monitoramento: CPU 6.4% | Memória 71.2% | Clientes ativos 2
2024-12-13 11:13:47,669 - INFO - Monitoramento: CPU 16.4% | Memória 71.7% | Clientes ativos 2
2024-12-13 11:13:52,679 - INFO - Monitoramento: CPU 5.3% | Memória 71.7% | Clientes ativos 2
2024-12-13 11:13:57,690 - INFO - Monitoramento: CPU 15.7% | Memória 71.7% | Clientes ativos 2
